2026-05-20 10:52:55 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2026-05-20 10:52:55 [main] INFO  com.bocoo.BocooApplication - Starting BocooApplication using Java 17.0.4 with PID 26056 (D:\work\base-boot\bocoo-admin\target\classes started by Administrator in D:\work\base-boot)
2026-05-20 10:52:55 [main] INFO  com.bocoo.BocooApplication - The following 1 profile is active: "dev"
2026-05-20 10:52:58 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8081"]
2026-05-20 10:52:58 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2026-05-20 10:52:58 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.28]
2026-05-20 10:52:58 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2026-05-20 10:52:58 [main] INFO  c.b.common.redis.config.RedisConfig - 初始化 redis 配置
2026-05-20 10:52:58 [main] INFO  org.redisson.Version - Redisson 3.29.0
2026-05-20 10:52:59 [redisson-netty-1-6] INFO  o.r.connection.ConnectionsHolder - 1 connections initialized for 192.168.120.67/192.168.120.67:6379
2026-05-20 10:52:59 [redisson-netty-1-3] INFO  o.r.connection.ConnectionsHolder - 8 connections initialized for 192.168.120.67/192.168.120.67:6379
2026-05-20 10:52:59 [main] INFO  c.b.d.d.DynamicRoutingDataSource - dynamic-datasource detect P6SPY plugin and enabled it
2026-05-20 10:52:59 [main] INFO  com.zaxxer.hikari.HikariDataSource - master - Starting...
2026-05-20 10:52:59 [main] INFO  com.zaxxer.hikari.pool.HikariPool - master - Added connection com.mysql.cj.jdbc.ConnectionImpl@722d3ddb
2026-05-20 10:52:59 [main] INFO  com.zaxxer.hikari.HikariDataSource - master - Start completed.
2026-05-20 10:52:59 [main] INFO  c.b.d.d.DynamicRoutingDataSource - dynamic-datasource - add a datasource named [master] success
2026-05-20 10:52:59 [main] INFO  c.b.d.d.DynamicRoutingDataSource - dynamic-datasource initial loaded [1] datasource,primary datasource named [master]
2026-05-20 10:53:01 [main] INFO  c.b.common.json.config.JacksonConfig - 初始化 jackson 配置
2026-05-20 10:53:02 [main] INFO  c.b.c.w.s.ServerEndpointExporter - [34mNetty WebSocket started on port: 2831 with context path(s): '/ws' .[0m
2026-05-20 10:53:02 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8081"]
2026-05-20 10:53:02 [main] INFO  com.bocoo.BocooApplication - Started BocooApplication in 8.647 seconds (process running for 9.352)
2026-05-20 10:53:03 [main] INFO  c.b.s.runner.SystemApplicationRunner - 初始化OSS配置成功
2026-05-20 10:53:03 [main] INFO  c.b.s.runner.SystemApplicationRunner - 加载参数缓存数据成功
2026-05-20 10:53:03 [main] INFO  c.b.s.runner.SystemApplicationRunner - 加载字典缓存数据成功
2026-05-20 10:53:08 [SpringApplicationShutdownHook] INFO  c.b.c.core.config.ThreadPoolConfig - ====关闭后台任务任务线程池====
2026-05-20 10:53:08 [SpringApplicationShutdownHook] INFO  c.b.d.d.DynamicRoutingDataSource - dynamic-datasource start closing ....
2026-05-20 10:53:08 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - master - Shutdown initiated...
2026-05-20 10:53:08 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - master - Shutdown completed.
2026-05-20 10:53:08 [SpringApplicationShutdownHook] INFO  c.b.d.d.d.DefaultDataSourceDestroyer - dynamic-datasource close the datasource named [master] success,
2026-05-20 10:53:08 [SpringApplicationShutdownHook] INFO  c.b.d.d.DynamicRoutingDataSource - dynamic-datasource all closed success,bye
