2026-06-30 12:06:12 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2026-06-30 12:06:12 [main] INFO  com.bocoo.BocooApplication - Starting BocooApplication using Java 17.0.19 with PID 55972 (/Users/chengmuxuan/Desktop/cmx/base-boot/bocoo-admin/target/classes started by chengmuxuan in /Users/chengmuxuan/Desktop/cmx/base-boot/bocoo-admin)
2026-06-30 12:06:12 [main] INFO  com.bocoo.BocooApplication - The following 1 profile is active: "dev"
2026-06-30 12:06:13 [main] INFO  c.b.c.web.i18n.JsonMessageSource - Loaded JSON i18n locales: [en_US, zh_CN]
2026-06-30 12:06:13 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8081"]
2026-06-30 12:06:13 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2026-06-30 12:06:13 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.33]
2026-06-30 12:06:13 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2026-06-30 12:06:13 [main] INFO  c.b.d.d.DynamicRoutingDataSource - dynamic-datasource detect P6SPY plugin and enabled it
2026-06-30 12:06:13 [main] INFO  com.zaxxer.hikari.HikariDataSource - master - Starting...
2026-06-30 12:06:13 [main] INFO  com.zaxxer.hikari.pool.HikariPool - master - Added connection org.postgresql.jdbc.PgConnection@7021bb55
2026-06-30 12:06:13 [main] INFO  com.zaxxer.hikari.HikariDataSource - master - Start completed.
2026-06-30 12:06:13 [main] INFO  c.b.d.d.DynamicRoutingDataSource - dynamic-datasource - add a datasource named [master] success
2026-06-30 12:06:13 [main] INFO  c.b.d.d.DynamicRoutingDataSource - dynamic-datasource initial loaded [1] datasource,primary datasource named [master]
2026-06-30 12:06:13 [main] INFO  c.b.common.redis.config.RedisConfig - 初始化 redis 配置
2026-06-30 12:06:13 [main] INFO  org.redisson.Version - Redisson 3.52.0
2026-06-30 12:06:14 [redisson-netty-1-5] INFO  o.r.connection.ConnectionsHolder - 1 connections initialized for 127.0.0.1/127.0.0.1:6379
2026-06-30 12:06:14 [redisson-netty-1-3] INFO  o.r.connection.ConnectionsHolder - 8 connections initialized for 127.0.0.1/127.0.0.1:6379
2026-06-30 12:06:14 [main] INFO  c.b.common.json.config.JacksonConfig - 初始化 jackson 配置
2026-06-30 12:06:15 [main] INFO  c.b.c.w.s.ServerEndpointExporter - [34mNetty WebSocket started on port: 2831 with context path(s): '/ws' .[0m
